month_end,account_id,account_name,subsidiary_id,subsidiary_name,account_number,account_full_name,category,bs_flag,category_sorting,bs_flag_sorting,subsidiary_country,year,quarter,quarter_name,month,month_name,std_amount,std_amount_gbp,subsidiary_currency,is_year_end,is_quarter_end,account_type_name,ns_category,ns_bs_flag,ns_category_sorting,ns_bs_flag_sorting,ns_std_amount,ns_std_amount_gbp
31/10/2017,383,Increase During The Year,18,ACME Corp,80230,80230 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2017,4,Qtr 4,10,Oct,44800,44800,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,44800,44800
31/01/2018,383,Increase During The Year,18,ACME Corp,80230,80230 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2018,1,Qtr 1,1,Jan,44800,44800,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,44800,44800
31/05/2018,383,Increase During The Year,18,ACME Corp,80230,80230 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2018,2,Qtr 2,5,May,44800,44800,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,44800,44800
31/07/2018,383,Increase During The Year,18,ACME Corp,80230,80230 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2018,3,Qtr 3,7,Jul,44800,44800,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,44800,44800
31/08/2018,383,Increase During The Year,18,ACME Corp,80230,80230 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2018,3,Qtr 3,8,Aug,44800,44800,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,44800,44800
31/10/2018,383,Increase During The Year,18,ACME Corp,80230,80230 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2018,4,Qtr 4,10,Oct,44800,44800,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,44800,44800
31/01/2019,383,Increase During The Year,18,ACME Corp,80230,80230 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2019,1,Qtr 1,1,Jan,44800,44800,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,44800,44800
31/05/2019,383,Increase During The Year,18,ACME Corp,80230,80230 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2019,2,Qtr 2,5,May,44800,44800,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,44800,44800
31/07/2019,383,Increase During The Year,18,ACME Corp,80230,80230 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2019,3,Qtr 3,7,Jul,44800,44800,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,44800,44800
31/08/2019,383,Increase During The Year,18,ACME Corp,80230,80230 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2019,3,Qtr 3,8,Aug,44800,44800,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,44800,44800
31/10/2019,383,Increase During The Year,18,ACME Corp,80230,80230 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2019,4,Qtr 4,10,Oct,44800,44800,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,44800,44800
31/08/2023,383,Increase During The Year,18,ACME Corp,80230,80230 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2023,3,Qtr 3,8,Aug,30386.4,30386.4,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,30386.4,30386.4
31/10/2023,383,Increase During The Year,18,ACME Corp,80230,80230 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2023,4,Qtr 4,10,Oct,30386.4,30386.4,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,30386.4,30386.4
31/01/2024,383,Increase During The Year,18,ACME Corp,80230,80230 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2024,1,Qtr 1,1,Jan,30386.4,30386.4,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,30386.4,30386.4
31/05/2024,383,Increase During The Year,18,ACME Corp,80230,80230 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2024,2,Qtr 2,5,May,45982.4,45982.4,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,45982.4,45982.4
31/05/2017,427,Increase During The Year,18,ACME Corp,81130,81130 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2017,2,Qtr 2,5,May,9078608.736,9078608.736,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,9078608.736,9078608.736
31/07/2017,427,Increase During The Year,18,ACME Corp,81130,81130 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2017,3,Qtr 3,7,Jul,10571699.87,10571699.87,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,10571699.87,10571699.87
31/08/2017,427,Increase During The Year,18,ACME Corp,81130,81130 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2017,3,Qtr 3,8,Aug,10610751.87,10610751.87,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,10610751.87,10610751.87
31/10/2017,427,Increase During The Year,18,ACME Corp,81130,81130 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2017,4,Qtr 4,10,Oct,12043078.32,12043078.32,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,12043078.32,12043078.32
31/01/2018,427,Increase During The Year,18,ACME Corp,81130,81130 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2018,1,Qtr 1,1,Jan,11986835.6,11986835.6,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,11986835.6,11986835.6
31/05/2018,427,Increase During The Year,18,ACME Corp,81130,81130 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2018,2,Qtr 2,5,May,13110896.5,13110896.5,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,13110896.5,13110896.5
31/07/2018,427,Increase During The Year,18,ACME Corp,81130,81130 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2018,3,Qtr 3,7,Jul,14504797.5,14504797.5,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,14504797.5,14504797.5
31/08/2018,427,Increase During The Year,18,ACME Corp,81130,81130 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2018,3,Qtr 3,8,Aug,14735864.7,14735864.7,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,14735864.7,14735864.7
31/10/2018,427,Increase During The Year,18,ACME Corp,81130,81130 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2018,4,Qtr 4,10,Oct,15858675.45,15858675.45,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,15858675.45,15858675.45
31/01/2019,427,Increase During The Year,18,ACME Corp,81130,81130 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2019,1,Qtr 1,1,Jan,17495779.45,17495779.45,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,17495779.45,17495779.45
31/05/2019,427,Increase During The Year,18,ACME Corp,81130,81130 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2019,2,Qtr 2,5,May,22137151.05,22137151.05,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,22137151.05,22137151.05
31/07/2019,427,Increase During The Year,18,ACME Corp,81130,81130 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2019,3,Qtr 3,7,Jul,23213017.45,23213017.45,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,23213017.45,23213017.45
31/08/2019,427,Increase During The Year,18,ACME Corp,81130,81130 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2019,3,Qtr 3,8,Aug,24155523.13,24155523.13,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,24155523.13,24155523.13
31/10/2019,427,Increase During The Year,18,ACME Corp,81130,81130 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2019,4,Qtr 4,10,Oct,24818107.9,24818107.9,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,24818107.9,24818107.9
31/01/2020,427,Increase During The Year,18,ACME Corp,81130,81130 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2020,1,Qtr 1,1,Jan,52000,52000,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,52000,52000
31/05/2020,427,Increase During The Year,18,ACME Corp,81130,81130 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2020,2,Qtr 2,5,May,1390742.456,1390742.456,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,1390742.456,1390742.456
