year,quarter_name,month_name,month
2017,Qtr 4,Oct,10
2018,Qtr 1,Jan,1
2018,Qtr 2,May,5
2018,Qtr 3,Jul,7
2018,Qtr 3,Aug,8
2018,Qtr 4,Oct,10
2019,Qtr 1,Jan,1
2019,Qtr 2,May,5
2019,Qtr 3,Jul,7
2019,Qtr 3,Aug,8
2019,Qtr 4,Oct,10
2023,Qtr 3,Aug,8
2023,Qtr 4,Oct,10
2024,Qtr 1,Jan,1
2024,Qtr 2,May,5
2017,Qtr 2,May,5
2017,Qtr 3,Jul,7
2017,Qtr 3,Aug,8
2020,Qtr 1,Jan,1
2020,Qtr 2,May,5
2020,Qtr 3,Jul,7
2020,Qtr 3,Aug,8
2020,Qtr 4,Oct,10
2021,Qtr 1,Jan,1
2021,Qtr 2,May,5
2021,Qtr 3,Jul,7
2021,Qtr 3,Aug,8
2021,Qtr 4,Oct,10
2022,Qtr 1,Jan,1
2022,Qtr 2,May,5
2022,Qtr 3,Jul,7
2022,Qtr 3,Aug,8
2022,Qtr 4,Oct,10
2023,Qtr 1,Jan,1
2023,Qtr 2,May,5
2023,Qtr 3,Jul,7
2018,Qtr 1,Mar,3
2019,Qtr 1,Mar,3
2024,Qtr 1,Mar,3
2017,Qtr 1,Mar,3
2020,Qtr 1,Mar,3
2021,Qtr 1,Mar,3
2022,Qtr 1,Mar,3
2023,Qtr 1,Mar,3
2017,Qtr 4,Dec,12
2018,Qtr 4,Dec,12
2019,Qtr 4,Dec,12
2023,Qtr 4,Dec,12
2024,Qtr 3,Jul,7
2020,Qtr 4,Dec,12
2021,Qtr 4,Dec,12
2022,Qtr 4,Dec,12
2017,Qtr 4,Nov,11
2018,Qtr 2,Apr,4
2018,Qtr 2,Jun,6
2018,Qtr 3,Sep,9
2018,Qtr 4,Nov,11
2019,Qtr 2,Apr,4
2019,Qtr 2,Jun,6
2019,Qtr 3,Sep,9
2019,Qtr 4,Nov,11
2023,Qtr 3,Sep,9
2023,Qtr 4,Nov,11
2024,Qtr 2,Apr,4
2024,Qtr 2,Jun,6
2017,Qtr 2,Apr,4
2017,Qtr 2,Jun,6
2017,Qtr 3,Sep,9
2020,Qtr 2,Apr,4
2020,Qtr 2,Jun,6
2020,Qtr 3,Sep,9
2020,Qtr 4,Nov,11
2021,Qtr 2,Apr,4
2021,Qtr 2,Jun,6
2021,Qtr 3,Sep,9
2021,Qtr 4,Nov,11
2022,Qtr 2,Apr,4
2022,Qtr 2,Jun,6
2022,Qtr 3,Sep,9
2022,Qtr 4,Nov,11
2023,Qtr 2,Apr,4
2023,Qtr 2,Jun,6
2018,Qtr 1,Feb,2
2019,Qtr 1,Feb,2
2024,Qtr 1,Feb,2
2020,Qtr 1,Feb,2
2021,Qtr 1,Feb,2
2022,Qtr 1,Feb,2
2023,Qtr 1,Feb,2
2017,Qtr 1,Feb,2
2017,Qtr 1,Jan,1
